variant,family,layer,expert,count,weight_sum
base,bit_manipulation,3,4,61,25.828518629074097
base,bit_manipulation,3,89,26,8.313102811574936
base,bit_manipulation,3,16,16,5.096949934959412
base,bit_manipulation,3,24,81,36.167469039559364
base,bit_manipulation,3,83,73,39.402578353881836
base,bit_manipulation,3,44,36,14.700350433588028
base,bit_manipulation,3,45,20,9.133259028196335
base,bit_manipulation,3,62,41,15.481833547353745
base,bit_manipulation,3,124,10,2.9106705635786057
base,bit_manipulation,3,48,51,22.21372291445732
base,bit_manipulation,3,104,117,63.03227862715721
base,bit_manipulation,3,40,74,30.619890242815018
base,bit_manipulation,3,14,41,13.594877555966377
base,bit_manipulation,3,27,19,6.190796673297882
base,bit_manipulation,3,112,38,14.98876279592514
base,bit_manipulation,3,52,14,4.116317301988602
base,bit_manipulation,3,11,94,47.864347755908966
base,bit_manipulation,3,20,9,3.2439622282981873
base,bit_manipulation,3,97,4,2.3237436413764954
base,bit_manipulation,3,106,9,2.8172601461410522
base,bit_manipulation,3,6,5,1.290026068687439
base,bit_manipulation,6,13,126,45.12312541529536
base,bit_manipulation,6,70,34,11.019836774095893
base,bit_manipulation,6,81,60,18.749831253662705
base,bit_manipulation,6,96,11,1.9750079046934843
base,bit_manipulation,6,108,28,30.256987690925598
base,bit_manipulation,6,92,64,18.075832042843103
base,bit_manipulation,6,20,16,5.528191953897476
base,bit_manipulation,6,55,12,5.916008085012436
base,bit_manipulation,6,62,49,18.564945071935654
base,bit_manipulation,6,106,161,70.72455313801765
base,bit_manipulation,6,116,37,11.19188642501831
base,bit_manipulation,6,16,4,1.165184110403061
base,bit_manipulation,6,27,73,20.357928559184074
base,bit_manipulation,6,29,123,44.95421490073204
base,bit_manipulation,6,30,4,1.9170645773410797
base,bit_manipulation,6,71,83,25.543428376317024
base,bit_manipulation,6,114,35,14.286809027194977
base,bit_manipulation,6,124,20,6.847556680440903
base,bit_manipulation,6,19,17,6.809869885444641
base,bit_manipulation,6,31,40,14.376922696828842
base,bit_manipulation,6,122,26,7.9168049693107605
base,bit_manipulation,6,8,12,3.8526079952716827
base,bit_manipulation,6,54,8,4.365359425544739
base,bit_manipulation,6,126,15,6.276596963405609
base,bit_manipulation,6,65,30,9.517344385385513
base,bit_manipulation,6,12,16,4.541062578558922
base,bit_manipulation,6,45,45,14.59450215101242
base,bit_manipulation,6,73,12,5.551128804683685
base,bit_manipulation,6,79,20,9.530762165784836
base,bit_manipulation,6,107,58,19.841662555933
base,bit_manipulation,6,46,117,38.37095308303833
base,bit_manipulation,6,67,42,12.37468621134758
base,bit_manipulation,6,93,59,22.866707533597946
base,bit_manipulation,6,33,97,47.45172291994095
base,bit_manipulation,6,35,7,2.5781949758529663
base,bit_manipulation,6,41,139,49.28980350494385
base,bit_manipulation,6,95,32,14.231802195310593
base,bit_manipulation,6,102,40,15.184552907943726
base,bit_manipulation,6,82,43,11.961773484945297
base,bit_manipulation,6,60,157,59.987202659249306
base,bit_manipulation,6,78,8,3.8634298741817474
base,bit_manipulation,6,123,43,13.300664562731981
base,bit_manipulation,6,7,85,36.96621751785278
base,bit_manipulation,6,56,59,24.856013268232346
base,bit_manipulation,6,61,25,9.008304625749588
base,bit_manipulation,6,2,22,8.423133537173271
base,bit_manipulation,6,37,53,21.18707075715065
base,bit_manipulation,6,76,45,18.256419628858566
base,bit_manipulation,6,110,16,5.586127206683159
base,bit_manipulation,6,52,474,262.71057610213757
base,bit_manipulation,6,64,16,7.3292654156684875
base,bit_manipulation,6,119,12,3.748772084712982
base,bit_manipulation,6,3,39,12.032270058989525
base,bit_manipulation,6,47,22,7.78756508231163
base,bit_manipulation,6,18,8,3.0925547182559967
base,bit_manipulation,6,84,20,8.555490612983704
base,bit_manipulation,6,105,4,0.0750352069735527
base,bit_manipulation,6,58,34,13.306231558322906
base,bit_manipulation,6,43,30,9.683054059743881
base,bit_manipulation,6,75,90,37.393150359392166
base,bit_manipulation,6,14,259,129.85373458266258
base,bit_manipulation,6,23,8,2.9645885825157166
base,bit_manipulation,6,85,15,5.375147849321365
base,bit_manipulation,6,77,10,2.988799661397934
base,bit_manipulation,6,103,48,17.502111464738846
base,bit_manipulation,6,86,90,26.46200282871723
base,bit_manipulation,6,101,27,8.44245494902134
base,bit_manipulation,6,104,36,19.994931608438492
base,bit_manipulation,6,21,484,275.91425734758377
base,bit_manipulation,6,22,83,33.4692318290472
base,bit_manipulation,6,80,90,42.83441913127899
base,bit_manipulation,6,53,24,13.586364209651947
base,bit_manipulation,6,125,37,15.636729031801224
base,bit_manipulation,6,9,17,6.567208498716354
base,bit_manipulation,6,111,286,111.2019921541214
base,bit_manipulation,6,59,31,11.830222874879837
base,bit_manipulation,6,36,18,5.343623504042625
base,bit_manipulation,6,24,25,8.198518306016922
base,bit_manipulation,6,38,53,19.07034006714821
base,bit_manipulation,6,98,17,6.794645518064499
base,bit_manipulation,6,34,4,1.2805035412311554
base,bit_manipulation,6,44,16,9.625027865171432
base,bit_manipulation,6,26,28,13.381265699863434
base,bit_manipulation,6,39,22,7.8811535239219666
base,bit_manipulation,6,94,64,23.835847184062004
base,bit_manipulation,6,115,8,3.7790562510490417
base,bit_manipulation,6,83,35,11.433108150959015
base,bit_manipulation,6,112,7,2.723228693008423
base,bit_manipulation,6,99,6,2.0376082956790924
base,bit_manipulation,6,100,12,5.08296312391758
base,bit_manipulation,6,11,6,2.5626867711544037
base,bit_manipulation,6,28,4,1.7501510977745056
base,bit_manipulation,6,89,9,3.9279575645923615
base,bit_manipulation,6,90,4,1.393338292837143
base,bit_manipulation,6,1,24,8.610139220952988
base,bit_manipulation,6,109,46,20.299783498048782
base,bit_manipulation,6,15,86,36.75431248545647
base,bit_manipulation,6,40,19,8.7111397087574
base,bit_manipulation,6,66,14,4.820484459400177
base,bit_manipulation,6,121,14,4.859161913394928
base,bit_manipulation,6,127,74,22.195134818553925
base,bit_manipulation,6,42,81,31.054123997688293
base,bit_manipulation,6,97,24,6.494865253567696
base,bit_manipulation,6,32,15,6.710283517837524
base,bit_manipulation,6,63,4,1.166186898946762
base,bit_manipulation,6,49,79,32.45523650944233
base,bit_manipulation,6,120,42,15.946729272603989
base,bit_manipulation,6,48,53,16.458659008145332
base,bit_manipulation,6,68,18,5.277794420719147
base,bit_manipulation,6,113,44,12.911323815584183
base,bit_manipulation,6,4,2,0.5268348157405853
base,bit_manipulation,6,17,2,0.6329898536205292
base,bit_manipulation,6,5,8,2.1474658846855164
base,bit_manipulation,6,69,34,14.33759394288063
base,bit_manipulation,6,0,4,1.646234780550003
base,bit_manipulation,6,74,8,4.490131378173828
base,bit_manipulation,6,117,24,10.557060420513153
base,bit_manipulation,6,87,20,10.012404426932335
base,bit_manipulation,6,91,4,1.6165705621242523
base,bit_manipulation,6,72,4,1.7037266790866852
base,bit_manipulation,6,88,4,2.6088159680366516
base,bit_manipulation,6,51,4,1.1056707203388214
base,bit_manipulation,8,50,26,9.936090558767319
base,bit_manipulation,8,64,23,9.277941882610321
base,bit_manipulation,8,90,242,99.15581366419792
base,bit_manipulation,8,91,13,5.280485212802887
base,bit_manipulation,8,109,101,49.256224900484085
base,bit_manipulation,8,111,18,6.680520921945572
base,bit_manipulation,8,42,21,8.179010838270187
base,bit_manipulation,8,65,8,3.4042357206344604
base,bit_manipulation,8,76,71,29.923747658729553
base,bit_manipulation,8,92,119,48.474530041217804
base,bit_manipulation,8,117,18,6.1413149535655975
base,bit_manipulation,8,118,41,17.008103013038635
base,bit_manipulation,8,9,78,39.75980418920517
base,bit_manipulation,8,60,32,12.003972977399826
base,bit_manipulation,8,66,8,3.20469269156456
base,bit_manipulation,8,72,85,32.86072698235512
base,bit_manipulation,8,88,100,40.747194319963455
base,bit_manipulation,8,100,54,23.248431980609894
base,bit_manipulation,8,11,401,178.35769793391228
base,bit_manipulation,8,24,8,2.2912701815366745
base,bit_manipulation,8,69,158,61.26339256763458
base,bit_manipulation,8,61,199,85.95959505438805
base,bit_manipulation,8,38,128,55.33623290061951
base,bit_manipulation,8,78,11,5.8744790852069855
base,bit_manipulation,8,94,29,11.643117487430573
base,bit_manipulation,8,101,146,64.98639786243439
base,bit_manipulation,8,49,14,4.541643172502518
base,bit_manipulation,8,116,30,13.077074378728867
base,bit_manipulation,8,95,68,26.24641764163971
base,bit_manipulation,8,4,289,129.08907541632652
base,bit_manipulation,8,70,33,12.317061334848404
base,bit_manipulation,8,55,16,5.267813786864281
base,bit_manipulation,8,20,41,15.348987698554993
base,bit_manipulation,8,108,284,118.2860775589943
base,bit_manipulation,8,31,6,2.0714661180973053
base,bit_manipulation,8,93,64,25.578578889369965
base,bit_manipulation,8,119,66,24.574682623147964
base,bit_manipulation,8,1,78,36.21183642745018
base,bit_manipulation,8,59,29,10.714629590511322
base,bit_manipulation,8,99,36,13.329850167036057
base,bit_manipulation,8,75,36,16.040629386901855
base,bit_manipulation,8,2,39,15.812859058380127
base,bit_manipulation,8,28,44,17.58224081993103
base,bit_manipulation,8,127,7,2.6461829245090485
base,bit_manipulation,8,89,104,42.786352425813675
base,bit_manipulation,8,96,7,2.379633069038391
base,bit_manipulation,8,45,8,2.701459437608719
base,bit_manipulation,8,84,39,16.654738873243332
base,bit_manipulation,8,113,92,37.408230632543564
base,bit_manipulation,8,0,56,23.709351420402527
base,bit_manipulation,8,48,30,11.329661458730698
base,bit_manipulation,8,73,12,4.760649681091309
base,bit_manipulation,8,124,8,2.846810072660446
base,bit_manipulation,8,106,39,17.009083807468414
base,bit_manipulation,8,103,4,1.5180402994155884
base,bit_manipulation,8,81,98,37.04309280216694
base,bit_manipulation,8,120,4,1.3414858281612396
base,bit_manipulation,8,77,144,53.44804862141609
base,bit_manipulation,8,97,21,8.076971709728241
base,bit_manipulation,8,80,66,27.30899068713188
base,bit_manipulation,8,19,26,11.262450575828552
base,bit_manipulation,8,63,29,11.178734242916107
base,bit_manipulation,8,121,26,10.031394243240356
base,bit_manipulation,8,18,47,17.730156987905502
base,bit_manipulation,8,56,108,54.43455424904823
base,bit_manipulation,8,41,45,20.207982391119003
base,bit_manipulation,8,104,98,40.934893786907196
base,bit_manipulation,8,123,85,36.56660345196724
base,bit_manipulation,8,46,34,13.284491181373596
base,bit_manipulation,8,6,12,4.403164923191071
base,bit_manipulation,8,67,45,17.721435695886612
base,bit_manipulation,8,53,22,8.74014601111412
base,bit_manipulation,8,29,97,42.08692389726639
base,bit_manipulation,8,30,32,12.817692041397095
base,bit_manipulation,8,43,39,15.552955895662308
base,bit_manipulation,8,83,54,22.3912073969841
base,bit_manipulation,8,15,147,62.90246930718422
base,bit_manipulation,8,51,96,37.19150710105896
base,bit_manipulation,8,110,10,4.3457114696502686
base,bit_manipulation,8,13,8,2.5452257841825485
base,bit_manipulation,8,86,66,25.80588921904564
base,bit_manipulation,8,17,58,22.96183642745018
base,bit_manipulation,8,23,6,2.250966101884842
base,bit_manipulation,8,40,35,14.207270115613937
base,bit_manipulation,8,115,18,6.788643509149551
base,bit_manipulation,8,33,68,26.306452855467796
base,bit_manipulation,8,26,40,16.29682132601738
base,bit_manipulation,8,44,50,21.387793362140656
base,bit_manipulation,8,34,16,6.650119453668594
base,bit_manipulation,8,87,7,2.8464079797267914
base,bit_manipulation,8,74,14,5.662108480930328
base,bit_manipulation,8,125,24,9.135342717170715
base,bit_manipulation,8,14,2,0.9496406018733978
base,bit_manipulation,8,32,8,2.931209683418274
base,bit_manipulation,8,71,7,2.9959771037101746
base,bit_manipulation,8,10,21,10.11744299530983
base,bit_manipulation,8,35,11,4.24438002705574
base,bit_manipulation,8,8,3,0.9794995784759521
base,bit_manipulation,8,47,14,5.697190672159195
base,bit_manipulation,8,114,31,11.919379830360413
base,bit_manipulation,8,36,43,18.941086679697037
base,bit_manipulation,8,105,27,11.613030016422272
base,bit_manipulation,8,21,15,6.58177849650383
base,bit_manipulation,10,2,29,9.869649022817612
base,bit_manipulation,10,21,6,2.499902456998825
base,bit_manipulation,10,40,43,15.786204069852829
base,bit_manipulation,10,93,4,2.2756876945495605
base,bit_manipulation,10,125,37,14.582708358764648
base,bit_manipulation,10,32,42,13.842880487442017
base,bit_manipulation,10,47,52,23.186447873711586
base,bit_manipulation,10,97,21,8.648373365402222
base,bit_manipulation,10,99,51,24.9377518594265
base,bit_manipulation,10,113,35,12.991264551877975
base,bit_manipulation,10,120,21,7.549779951572418
base,bit_manipulation,10,60,74,33.901577323675156
base,bit_manipulation,10,65,24,9.479408591985703
base,bit_manipulation,10,70,20,7.196568936109543
base,bit_manipulation,10,80,8,2.6920780539512634
base,bit_manipulation,10,43,10,4.2996083199977875
base,bit_manipulation,10,52,17,5.481966733932495
base,bit_manipulation,10,94,13,3.8523483872413635
