variant,family,layer,assignments,active_experts,available_experts,expert_coverage,entropy,observed_normalized_entropy,available_normalized_entropy,top_expert_share
base,unit_conversion,17,2682,94,128,0.734375,4.040613034169245,0.8893574438395564,0.8327674837924682,0.0592841163310962
base,unit_conversion,20,2682,90,128,0.703125,3.8456587613404296,0.8546269827137325,0.7925875462767188,0.09731543624161074
base,unit_conversion,22,2682,110,128,0.859375,4.08758020006896,0.8696090360926052,0.8424473834107722,0.06935123042505593
base,unit_conversion,24,2682,93,128,0.7265625,3.4753729638827915,0.7667505079883047,0.7162719057476117,0.14205816554809844
base,unit_conversion,27,2682,95,128,0.7421875,3.7000561561501564,0.8125068472919799,0.7625789524983587,0.13758389261744966
base,unit_conversion,29,2682,98,128,0.765625,3.8139115215644823,0.8318295689788272,0.7860444626500513,0.09955257270693513
base,unit_conversion,31,2682,96,128,0.75,3.7428375310830537,0.8200157775166151,0.7713961635638019,0.12080536912751678
base,unit_conversion,34,2682,96,128,0.75,3.8225832073523804,0.8374872045252724,0.7878316909475297,0.09507829977628636
base,unit_conversion,36,2682,89,128,0.6953125,3.6635587207858964,0.8161852328894532,0.7550568569261896,0.1297539149888143
base,unit_conversion,38,2682,94,128,0.734375,3.6592245908881362,0.8054120998637574,0.7541635958247515,0.1122296793437733
base,unit_conversion,40,2682,80,128,0.625,3.443566168033081,0.7858387123403137,0.7097165476563339,0.13534675615212527
base,unit_conversion,43,2682,100,128,0.78125,3.9821246474743623,0.8647073803245237,0.8207130687304249,0.08911260253542133
base,unit_conversion,45,2682,104,128,0.8125,3.9272894126519455,0.8455983783315912,0.8094115656812417,0.14988814317673377
base,unit_conversion,47,2682,111,128,0.8671875,3.952533077601657,0.8392627095798778,0.8146142671436433,0.07718120805369127
base,unit_conversion,49,2682,103,128,0.8046875,4.097504125468391,0.8840871032318002,0.8444926974050453,0.05630126771066368
base,unit_conversion,51,2682,116,128,0.90625,4.049462797147452,0.8518746114723382,0.8345914136727114,0.10328113348247576
